{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '867ms', 'timestamp': '2025-02-02 18:12:49', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/talents/mahammedtouray/', 'method': 'GET', 'duration': '235ms', 'timestamp': '2025-02-02 18:12:50', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '762ms', 'timestamp': '2025-02-02 18:12:54', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/categories/', 'method': 'GET', 'duration': '861ms', 'timestamp': '2025-02-02 18:12:59', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/talents/mahammedtouray/', 'method': 'GET', 'duration': '496ms', 'timestamp': '2025-02-02 18:13:00', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/notifications/check/', 'method': 'GET', 'duration': '637ms', 'timestamp': '2025-02-02 18:13:02', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '696ms', 'timestamp': '2025-02-02 18:13:19', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '451ms', 'timestamp': '2025-02-02 18:13:23', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/categories/', 'method': 'GET', 'duration': '458ms', 'timestamp': '2025-02-02 18:13:25', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/talents/mahammedtouray/', 'method': 'GET', 'duration': '193ms', 'timestamp': '2025-02-02 18:13:26', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/notifications/check/', 'method': 'GET', 'duration': '117ms', 'timestamp': '2025-02-02 18:13:27', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '857ms', 'timestamp': '2025-02-02 18:15:37', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '752ms', 'timestamp': '2025-02-02 18:15:49', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/categories/', 'method': 'GET', 'duration': '701ms', 'timestamp': '2025-02-02 18:15:54', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/talents/mahammedtouray/', 'method': 'GET', 'duration': '351ms', 'timestamp': '2025-02-02 18:15:55', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/notifications/check/', 'method': 'GET', 'duration': '592ms', 'timestamp': '2025-02-02 18:15:55', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '888ms', 'timestamp': '2025-02-02 18:16:29', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '719ms', 'timestamp': '2025-02-02 18:17:32', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/talents/mahammedtouray/', 'method': 'GET', 'duration': '360ms', 'timestamp': '2025-02-02 18:17:56', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '545ms', 'timestamp': '2025-02-02 18:18:40', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '652ms', 'timestamp': '2025-02-02 18:19:31', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '633ms', 'timestamp': '2025-02-02 18:19:47', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/talents/mahammedtouray/', 'method': 'GET', 'duration': '784ms', 'timestamp': '2025-02-02 18:21:39', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '185ms', 'timestamp': '2025-02-02 18:21:40', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '732ms', 'timestamp': '2025-02-02 18:22:56', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '987ms', 'timestamp': '2025-02-02 18:23:15', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/talents/mahammedtouray/', 'method': 'GET', 'duration': '211ms', 'timestamp': '2025-02-02 18:24:40', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '571ms', 'timestamp': '2025-02-02 18:24:40', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/categories/', 'method': 'GET', 'duration': '255ms', 'timestamp': '2025-02-02 18:24:56', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/talents/mahammedtouray/', 'method': 'GET', 'duration': '532ms', 'timestamp': '2025-02-02 18:24:57', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '347ms', 'timestamp': '2025-02-02 18:24:57', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/notifications/check/', 'method': 'GET', 'duration': '383ms', 'timestamp': '2025-02-02 18:24:58', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '418ms', 'timestamp': '2025-02-02 18:27:11', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '418ms', 'timestamp': '2025-02-02 18:27:11', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/admin/jobs/job/', 'method': 'GET', 'duration': '474ms', 'timestamp': '2025-02-02 18:28:00', 'status_message': 'OK', 'user_id': 1, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'UNKNOWN-SERVICE', 'user_agent': 'Windows/Safari'}
{'level': 'INFO', 'status': 200, 'path': '/admin/jsi18n/', 'method': 'GET', 'duration': '625ms', 'timestamp': '2025-02-02 18:28:00', 'status_message': 'OK', 'user_id': 1, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'UNKNOWN-SERVICE', 'user_agent': 'Windows/Safari'}
{'level': 'INFO', 'status': 200, 'path': '/admin/jobs/job/4195f8e8-db12-4fc5-bf8d-1750462e0ece/change/', 'method': 'GET', 'duration': '607ms', 'timestamp': '2025-02-02 18:28:02', 'status_message': 'OK', 'user_id': 1, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'UNKNOWN-SERVICE', 'user_agent': 'Windows/Safari'}
{'level': 'INFO', 'status': 200, 'path': '/admin/jsi18n/', 'method': 'GET', 'duration': '735ms', 'timestamp': '2025-02-02 18:28:02', 'status_message': 'OK', 'user_id': 1, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'UNKNOWN-SERVICE', 'user_agent': 'Windows/Safari'}
{'level': 'ERROR', 'status': 302, 'path': '/admin/jobs/job/4195f8e8-db12-4fc5-bf8d-1750462e0ece/change/', 'method': 'POST', 'duration': '500ms', 'timestamp': '2025-02-02 18:28:18', 'status_message': 'Found', 'user_id': 1, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'UNKNOWN-SERVICE', 'user_agent': 'Windows/Safari'}
{'level': 'INFO', 'status': 200, 'path': '/admin/jobs/job/', 'method': 'GET', 'duration': '666ms', 'timestamp': '2025-02-02 18:28:18', 'status_message': 'OK', 'user_id': 1, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'UNKNOWN-SERVICE', 'user_agent': 'Windows/Safari'}
{'level': 'INFO', 'status': 200, 'path': '/admin/jsi18n/', 'method': 'GET', 'duration': '808ms', 'timestamp': '2025-02-02 18:28:18', 'status_message': 'OK', 'user_id': 1, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'UNKNOWN-SERVICE', 'user_agent': 'Windows/Safari'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '491ms', 'timestamp': '2025-02-02 18:28:22', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/jobs/4195f8e8-db12-4fc5-bf8d-1750462e0ece/', 'method': 'GET', 'duration': '499ms', 'timestamp': '2025-02-02 18:28:22', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
{'level': 'INFO', 'status': 200, 'path': '/api/categories/', 'method': 'GET', 'duration': '322ms', 'timestamp': '2025-02-02 18:28:24', 'status_message': 'OK', 'user_id': 2, 'host': '127.0.0.1:8000', 'ip_addr': '127.0.0.1', 'service_name': 'DOKOOLA-FRONTEND', 'user_agent': 'Unknown device/Unknown'}
